id,spkid,full_name,pdes,name,prefix,neo,pha,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A2,A3,DT
a0020255,2020255,20255 (1998 FX2),20255,,,Y,N,18.2,,,,,,,,,,6.804,,,,,Sq,,,,JPL 43,2459000.5,59000,20200531.0000000,J2000,0.4905688975674090,2.152754448075400,1.096680071749710,9.94506024167185,180.9568165073910,17.59732297841490,5.034423988436270,3.208828824401080,0.3120414813945100,2458984.366170720000,20200514.8661707,1153.692766715390,3.15863864946034,0.105263,40.96520171,1.75031,3.521,2.5354E-08,3.7676E-09,5.5018E-08,6.0594E-06,1.1326E-05,2.0215E-05,1.0993E-05,5.6158E-09,8.1917E-10,3.519E-05,3.0287E-06,AMO,Otto Matic,8102,1998-03-20,2020-05-25,662,,,0,0.55741,,,,,
a0020425,2020425,20425 (1998 VD35),20425,,,Y,Y,20.4,,,,,,,,,,,,,,,Sq,,,,JPL 30,2459000.5,59000,20200531.0000000,J2000,0.4764358514549720,1.564621489595350,0.8191797179952400,6.984029914675070,227.3651647944310,296.1506634363980,307.0577835501050,2.310063261195450,0.503605120951973,2459105.626445800000,20200913.1264458,714.8457889377420,1.95714110592126,0.00325523,1.2668378591,2.70453,4.283,1.266E-07,5.8263E-08,1.8811E-07,3.7773E-05,0.00013889,0.00013506,0.00018257,8.6022E-08,2.813E-08,0.00036837,3.9929E-05,APO,Otto Matic,2448,1998-11-15,2005-07-29,51,,,1,0.63021,,,,,
a0020429,2020429,20429 (1998 YN1),20429,,,Y,N,17.6,,,,,,,,,,2.7180,,,,,,,,,JPL 87,2459000.5,59000,20200531.0000000,J2000,0.4640091326922570,1.556119163222340,0.834065659929738,6.2991487592961,61.77123063768070,147.6140482169270,310.0765693413910,2.278172666514930,0.5077381513470640,2459098.825151510000,20200906.3251515,709.026885304749,1.94120981602943,0.0563153,21.916225301,2.68818,4.307,4.854E-08,6.3129E-09,7.55E-08,5.0435E-06,3.9416E-05,4.2005E-05,3.0745E-05,9.2422E-09,3.0897E-09,6.1123E-05,4.3146E-06,APO,Otto Matic,7711,1998-12-16,2020-01-26,519,,,0,0.59451,,,,,
a0020460,2020460,20460 Robwhiteley (1999 LO28),20460,Robwhiteley,,Y,N,15.2,,,,,,,2.716,,0.199,2.7209,,,,,,,,0.585,JPL 234,2459000.5,59000,20200531.0000000,J2000,0.4120833913014880,1.876650522935870,1.103314011156740,33.94175679494760,280.0728798248730,283.6692443953620,90.15695946773730,2.649987034714990,0.383379571506676,2458765.336297580000,20191008.8362976,939.0171692904900,2.57088889607253,0.329679,128.30117643,2.99872,3.681,3.527E-08,4.3803E-09,6.5938E-08,6.7699E-06,7.7215E-06,1.1448E-05,1.1902E-05,6.1853E-09,1.3423E-09,3.0492E-05,3.2876E-06,AMO,Otto Matic,23984,1954-12-30,2020-08-29,1276,,,0,0.47249,,,,,
a0020790,2020790,20790 (2000 SE45),20790,,,Y,N,16.4,,,,,,,,,,2.792,,,,,S,,,,JPL 148,2459000.5,59000,20200531.0000000,J2000,0.5607254407681680,2.742488907805860,1.204705606174610,8.334678787676880,302.9563014103060,168.9210093701870,94.31495043391440,4.280272209437120,0.2170135014973370,2458565.895932590000,20190323.3959326,1658.882961272420,4.54177402127973,0.222838,86.72186446,0.872253,3.087,3.9638E-08,2.0072E-08,1.1379E-07,5.091E-06,3.551E-05,3.7768E-05,1.6661E-05,3.1327E-08,2.3825E-09,7.2027E-05,1.8212E-05,AMO,Otto Matic,9877,1992-03-09,2019-03-25,873,,,0,0.47652,,,,,
a0020826,2020826,20826 (2000 UV13),20826,,,Y,N,13.9,,,,,,,3.687,,0.123,5.313,,,,,Sq,,,0.311,JPL 340,2459000.5,59000,20200531.0000000,J2000,0.6326978080906760,2.424902975277160,0.8906721779867420,31.8625971405705,347.3342533767120,198.6472237227660,34.70205667023640,3.959133772567570,0.2610132319856400,2458867.548668740000,20200119.0486687,1379.240421113230,3.77615447258927,0.0806892,31.401815964,1.1912,3.044,3.3404E-08,6.9369E-09,8.0775E-08,6.4272E-06,8.0004E-06,8.3131E-06,3.7817E-06,1.1326E-08,1.12E-09,1.4102E-05,5.9184E-06,APO,Otto Matic,24448,1953-10-01,2020-09-07,1778,,,0,0.39994,,,,,
a0021088,2021088,21088 Chelyabinsk (1992 BL2),21088,Chelyabinsk,,Y,N,14.3,,,,,,,2.793,,0.206,22.49,,,,,,,,0.077,JPL 468,2459000.5,59000,20200531.0000000,J2000,0.2385498012602280,1.706448987524350,1.299375920689700,38.46013441761240,297.8468681866160,27.09956097170780,41.07067786711790,2.113522054359010,0.4421443796706380,2458907.610256840000,20200228.1102568,814.2136744295410,2.22919554943064,0.308271,119.96982507,3.20907,3.920,6.0546E-08,4.6066E-09,1.0526E-07,6.9212E-06,6.9343E-06,1.1288E-05,1.1264E-05,5.7055E-09,1.7904E-09,2.5207E-05,3.297E-06,AMO,Otto Matic,11176,1990-01-30,2020-09-05,2941,,,0,0.34573,,,,,
a0021277,2021277,21277 (1996 TO5),21277,,,Y,N,16.1,,,,,,,,,,7.70,,,,,,,,,JPL 165,2459000.5,59000,20200531.0000000,J2000,0.5205881328788740,2.376601474329990,1.13937095021136,20.9522649964117,167.3841289832410,250.1729632865030,136.6468581379750,3.613831998448610,0.2690106851479050,2458492.539291810000,20190109.0392918,1338.236805731600,3.6638926919414,0.313031,121.82227427,2.2671,3.267,3.7922E-08,9.9983E-09,9.219E-08,8.9943E-06,1.2107E-05,1.6468E-05,1.1692E-05,1.5203E-08,1.6976E-09,4.1383E-05,8.4449E-06,AMO,Otto Matic,11056,1990-02-04,2020-05-13,659,,,0,0.51062,,,,,
a0021374,2021374,21374 (1997 WS22),21374,,,Y,N,17.4,,,,,,,,,,3.405,,,,,,,,,JPL 201,2459000.5,59000,20200531.0000000,J2000,0.1205852926388440,1.269393185891400,1.116323037096930,23.98065997470430,59.21489410859960,197.2058056955660,66.690638912586,1.422463334685870,0.6891437628081480,2458903.726812010000,20200224.2268120,522.3873731847460,1.43021868086173,0.109127,42.46895459,3.59887,4.995,2.4079E-08,2.0411E-09,3.0553E-08,9.5795E-06,6.0069E-06,1.4358E-05,1.3022E-05,2.2873E-09,1.6622E-09,1.8807E-05,1.26E-06,AMO,Otto Matic,16772,1974-09-22,2020-08-23,923,1,0,0,0.45036,,,,,
a0022099,2022099,22099 (2000 EX106),22099,,,Y,N,17.9,,,,,,,0.524,,0.444,6.334,,,,,S:,,,0.112,JPL 164,2459000.5,59000,20200531.0000000,J2000,0.2762828490587270,1.104404298150790,0.7992763321449850,9.845307385110270,136.4560352558270,186.5652515078290,41.49919370789630,1.409532264156590,0.8492038249748080,2458951.631645330000,20200412.1316453,423.9264937492240,1.16064748459746,0.167867,65.32880039,3.88861,5.584,4.2754E-08,1.2667E-09,4.6698E-08,4.6087E-06,1.9096E-05,2.3002E-05,1.8685E-05,1.6166E-09,1.461E-09,2.1951E-05,7.2932E-07,APO,Otto Matic,8438,1994-01-30,2017-03-08,809,,,0,0.48665,,,,,
a0022753,2022753,22753 (1998 WT),22753,,,Y,Y,17.7,,,,,,,,,,10.24,,,,,,,,,JPL 205,2459000.5,59000,20200531.0000000,J2000,0.5699465427122400,1.218935697372330,0.5242075108664380,3.204402374293900,307.4068188442450,324.7641505896350,73.58375670253240,1.913663883878230,0.7323739361014030,2458900.027067970000,20200220.5270680,491.5521733560910,1.34579650473947,0.0336101,13.080042617,3.21888,5.063,8.4849E-09,2.4075E-09,1.1256E-08,3.3014E-06,4.6111E-05,4.5865E-05,1.1716E-05,3.7796E-09,2.1697E-09,1.5701E-05,1.4563E-06,APO,Otto Matic,23401,1955-10-24,2019-11-18,911,6,2,0,0.50274,,,,,
a0022771,2022771,22771 (1999 CU3),22771,,,Y,N,16.8,,,,,,,,,,3.7820,,,,,Sl,,,,JPL 419,2459000.5,59000,20200531.0000000,J2000,0.5241769037084960,1.576480528329170,0.7501258462328540,11.40119810089840,338.9567365355440,305.7817717685110,180.0670519228150,2.402835210425500,0.4979332840631250,2459361.859551240000,20210527.3595512,722.9884233936080,1.97943442407559,0.0628587,24.462720279,2.84926,4.220,1.4152E-08,1.561E-09,2.292E-08,4.2939E-06,7.4753E-06,8.1354E-06,5.3212E-06,2.3793E-09,7.3958E-10,1.1219E-05,1.0739E-06,APO,Otto Matic,7632,1999-02-10,2020-01-03,2331,5,1,0,0.45653,,,,,
a0023183,2023183,23183 (2000 OY21),23183,,,Y,N,16.0,,,,,,,1.098,,0.640,6.9809,,,,,,,,0.049,JPL 179,2459000.5,59000,20200531.0000000,J2000,0.4007106718036230,1.824111238838930,1.093170398879240,40.97492385237700,119.6572166009800,301.4779839613490,318.9707408637190,2.555052078798620,0.4000618096896620,2459103.057300250000,20200910.5573003,899.8609496849020,2.46368500940425,0.257106,100.05794202,3.0515,3.672,6.3039E-08,8.7665E-09,1.1161E-07,5.625E-06,6.445E-06,1.1159E-05,1.9992E-05,1.2279E-08,2.884E-09,5.069E-05,6.4869E-06,AMO,Otto Matic,9184,1994-06-03,2019-07-26,920,,,0,0.39655,,,,,
a0023187,2023187,23187 (2000 PN9),23187,,,Y,Y,16.0,,,,,,,,,,2.5325,,,,,,,,,JPL 311,2459000.5,59000,20200531.0000000,J2000,0.5892830174323390,1.846978303014940,0.7585853554822340,51.32346108586680,164.3116374532970,293.549595113623,259.1400161937490,2.935371250547640,0.3926552272165130,2459257.366525170000,20210211.8665252,916.8348593039200,2.51015704121539,0.0141495,5.506560915,3.07675,3.419,1.4944E-08,1.434E-09,2.7947E-08,7.3921E-06,6.6561E-07,3.4597E-06,2.2453E-06,2.279E-09,4.5729E-10,5.9686E-06,1.0678E-06,APO,Otto Matic,10995,1990-08-02,2020-09-08,1681,6,2,0,0.35406,,,,,
a0023548,2023548,23548 (1994 EF2),23548,,,Y,N,17.5,,,,,,,,,,,,,,,Q,,,,JPL 41,2459000.5,59000,20200531.0000000,J2000,0.5169319651265740,2.292214291354080,1.107295453233200,23.40183488080960,345.9127232847060,124.170580288698,218.1392822030200,3.477133129474950,0.284001902941155,2459500.006222770000,20211012.5062228,1267.59714027195,3.47049182825996,0.244028,94.96837676,2.01641,3.313,1.0213E-07,1.1802E-08,2.3548E-07,2.9229E-05,1.7989E-05,3.1146E-05,2.3929E-05,1.7903E-08,2.1933E-09,8.7198E-05,9.7896E-06,AMO,Otto Matic,8654,1994-03-11,2017-11-19,135,,,0,0.61044,,,,,
a0023606,2023606,23606 (1996 AS1),23606,,,Y,N,18.0,,,,,,,0.866,,0.123,,,,,,,,,0.013,JPL 62,2459000.5,59000,20200531.0000000,J2000,0.3611926426400010,1.750023169723900,1.117927676370090,14.36107256185880,296.6428398538180,357.5291156363980,29.24099863754780,2.382118663077710,0.4257340399167800,2458931.816277540000,20200323.3162775,845.5983460245990,2.31512209726105,0.102188,39.76850396,2.8405,4.021,9.0848E-08,1.1778E-08,1.6049E-07,9.7196E-06,3.0541E-05,3.3498E-05,1.5052E-05,1.6032E-08,4.2979E-09,3.506E-05,8.5365E-06,AMO,Otto Matic,12219,1985-07-18,2018-12-31,234,,,0,0.51698,,,,,
a0023714,2023714,23714 (1998 EC3),23714,,,Y,N,16.6,,,,,,,,,,,,,,,,,,,JPL 69,2459000.5,59000,20200531.0000000,J2000,0.5169333281947890,2.127861333021230,1.027898892205570,8.399120493139570,127.8511834487050,128.9849768840790,16.96024285880410,3.227823773836890,0.3175331632116010,2458947.087491250000,20200407.5874912,1133.739847387530,3.10401053357297,0.0802489,31.230464413,1.90245,3.528,7.3677E-08,7.8847E-09,1.5473E-07,5.4213E-06,5.3402E-05,5.4976E-05,1.2913E-05,1.1961E-08,1.7649E-09,4.05E-05,6.3015E-06,AMO,Otto Matic,8217,1998-03-01,2020-08-29,482,,,0,0.57562,,,,,
