pdes,name,pha,diameter
283457,,N,
283460,,N,
283729,,N,
284114,,N,
284422,,N,
285110,,N,
285179,,N,
285263,,Y,
285331,,N,0.654
285339,,N,0.614
285540,,N,
285567,,N,
285571,,N,
285625,,N,
285638,,N,
285818,,N,
285838,,N,
285944,,N,1.044
285990,,N,
286079,,N,
286080,,Y,
288592,,N,
288807,,N,
288914,,N,
289227,,N,
289315,,Y,
290772,,Y,
292165,,N,
292220,,Y,
293054,,N,
293726,,N,
294739,,Y,0.740
296318,,N,
297274,,Y,1.199
297300,,Y,0.320
297418,,Y,0.407
299582,,N,0.622
301011,,N,
301844,,Y,0.4
302010,,N,
302156,,N,
302169,,Y,
302311,,N,
302523,,N,
302591,,N,
302800,,N,
302830,,N,
302831,,Y,
302871,,N,
303174,,N,1.504
303248,,N,0.817
303250,,N,
303262,,N,
303449,,N,
303450,,Y,0.187
303933,,N,
304088,,N,
304153,,N,2.054
304293,,N,
304330,,Y,0.780
304640,,N,
305090,,N,
306367,Nut,N,
306383,,Y,
306431,,N,
306462,,N,0.476
306523,,N,
306595,,N,
307005,,Y,
307070,,N,0.282
307161,,N,
307493,,Y,1.666
307564,,N,
307918,,N,0.374
308041,,N,
308043,,N,
308127,,N,
308242,,Y,
308635,,Y,0.4
308899,,N,
309203,,N,
309214,,N,
309662,,N,
309728,,N,
310402,,N,
310442,,Y,
310560,,Y,0.654
310737,,N,
310842,,N,
311044,,Y,
311066,,Y,
311321,,N,0.583
311554,,N,0.382
311555,,N,
311925,,N,
312070,,Y,0.595
312473,,N,
312942,,N,
312956,,N,
313276,,N,
313538,,N,
313548,,N,
313552,,N,
313809,,N,
314079,,N,
314082,Dryope,Y,
314212,,Y,
315020,,N,
315098,,N,0.993
315508,,N,0.836
316695,,N,
317212,,N,
317255,,Y,
317643,,N,
317685,,N,
318050,,N,
318160,,N,
318411,,N,
318450,,N,
319988,,N,
320378,,N,
322652,,N,
322705,,N,
322756,,N,
322763,,N,1.252
322775,,N,1.632
322913,,N,
322966,,N,
323179,,N,1.170
323300,,N,
325102,,N,0.361
325395,,Y,
325769,,N,
326290,Akhenaten,Y,
326291,,N,
326302,,N,
326332,,N,
326354,,N,
326386,,N,
326388,,N,1.142
326683,,N,0.518
326732,,N,
326742,,N,
326777,,N,
326946,,N,
327140,,N,
328059,,N,
329275,,N,
329291,,N,
329338,,N,
329340,,N,
329343,,N,
329390,,N,
329395,,N,
329437,,Y,
329520,,N,
329571,,N,
329614,,Y,
329669,,N,
329713,,N,
329770,,N,
329774,,N,
329915,,N,1.012
330233,,Y,
330659,,N,
330809,,N,
330825,,N,
331471,,N,
331509,,N,
331510,,N,
331769,,N,
331792,,N,1.275
331876,,Y,
331963,,N,
331990,,N,
331999,,N,
332408,,N,
332446,,Y,
332775,,N,0.467
333284,,N,
333311,,N,
333358,,N,
333478,,N,
333480,,N,
333510,,N,
333521,,Y,
333555,,N,
333578,,Y,0.204
333707,,N,
333755,,N,
333888,,N,
333889,,N,0.919
333908,,N,
334412,,N,
334673,,N,0.570
335746,,N,
335758,,N,
337053,,N,
337069,,N,
337075,,Y,
337084,,N,
337118,,N,
337119,,N,0.521
337248,,N,0.846
337252,,N,
337345,,N,
337557,,N,
337558,,Y,
337866,,N,
338049,,N,
338172,,N,
338176,,N,
338292,,N,
338347,,N,1.420
338567,,N,
339492,,N,
339714,,N,
339715,,N,
340048,,N,
340291,,N,
340666,,N,
341050,,N,
341816,,N,
341843,,Y,0.40
342866,,Y,
343098,,N,
343158,,N,
343166,,N,0.670
344074,,N,
344076,,Y,
344133,,N,
344143,,N,
344756,,N,
345646,,N,0.413
345705,,N,0.406
345722,,N,0.653
345813,,N,1.377
345853,,N,
347634,,N,
347813,,N,
348304,,N,
348306,,Y,
348314,,Y,
348400,,Y,
348461,,N,
348595,,N,
348776,,N,
349063,,N,
349068,,Y,0.496
349074,,N,1.081
349219,,N,0.583
349507,,Y,
349925,,N,0.920
349928,,N,
350462,,N,
350513,,N,1.77
350523,,Y,
350536,,N,
350713,,N,
350751,,Y,
350964,,N,
350988,,N,
351278,,N,
351331,,N,
351340,,N,
351370,,N,
351508,,N,
351545,,N,
351815,,N,
352102,,Y,
352143,,N,
353190,,N,
353938,,N,
353947,,N,
354030,,N,
354101,,N,
354127,,N,
354182,,Y,
354332,,N,
354663,,N,
354713,,N,
354876,,N,
354952,,N,
355046,,N,
355256,,N,
355770,,N,1.199
356285,,N,
356394,,N,1.071
356991,,Y,
357005,,N,
357022,,Y,0.432
357024,,Y,0.255
357028,,Y,
357058,,N,
357311,,N,
357414,,N,
357439,,Y,
357594,,Y,
357618,,N,
357621,,N,
357622,,Y,
358453,,N,
358471,,Y,
358744,,Y,
359170,,Y,
359242,,N,
359369,,Y,
359592,,N,
360191,,Y,0.4
360192,,N,
360433,,N,
360502,,N,
361071,,N,
361123,,N,
361518,,N,
361532,,N,
361538,,N,0.479
361611,,N,
361689,,N,
361754,,Y,
361861,,N,
362310,,N,
363024,,Y,0.558
363027,,Y,0.578
363067,,Y,
363069,,N,
363071,,N,
363075,,N,
363076,,N,
363084,,Y,
363116,,Y,
363163,,N,
363267,,N,
363298,,N,
363305,,Y,
363344,,Y,
363505,,Y,1.876
363599,,Y,0.152
363617,,N,
363626,,N,0.633
363734,,Y,
363790,,Y,
363814,,N,1.105
363831,,Y,0.371
364136,,Y,
364762,,N,1.047
364877,,N,0.786
365014,,Y,
365071,,Y,0.674
365246,,N,
365424,,Y,0.212
365449,,N,0.215
366470,,N,
366615,,N,
366733,,N,
366746,,Y,
366774,,Y,0.859
366833,,N,
367248,,Y,0.386
367390,,N,
367525,,N,
367638,,N,
367684,,N,0.498
367789,,Y,
367943,Duende,N,
368184,,N,0.381
368203,,Y,
368565,,Y,
368664,,N,
368790,,N,
368949,,N,
369057,,Y,
369264,,Y,1.515
369296,,N,
369452,,N,
369454,,N,0.846
369983,,N,
369984,,N,
369986,,N,
370037,,N,
370061,,N,
370307,,N,
370688,,N,
370702,,N,
371336,,N,1.137
371660,,Y,0.230
371973,,N,
373135,,Y,1.050
373393,,N,
373428,,N,
373503,,N,
373579,,N,
374038,,Y,
374158,,Y,
374188,,N,
374267,,N,
374449,,N,0.414
374851,,Y,
374855,,Y,
375054,,Y,
375103,,Y,
375505,,N,
375657,,N,
376707,,N,
376729,,N,
376775,,N,
376778,,N,
376788,,N,
376848,,N,
376864,,N,
376879,,N,
376883,,N,
377097,,Y,
377732,,Y,0.986
377972,,N,
378124,,N,
378160,,Y,
378358,,Y,
378526,,N,
378610,,N,
378842,,N,
380128,,N,
380160,,N,
380188,,N,1.312
380205,,N,
380321,,N,
380359,,N,
380455,,N,
380476,,N,
380524,,N,
380636,,Y,
380818,,N,
380929,,N,
380981,,Y,
381181,,N,0.602
381564,,N,
381677,,N,0.472
381906,,Y,0.520
381989,,N,0.783
382395,,Y,
382406,,Y,
382459,,N,
382503,,N,
382625,,N,
382745,,Y,
382758,,Y,
382825,,Y,
382875,,N,
383610,,N,
385186,,Y,0.811
385252,,Y,
385268,,N,3.2
385343,,Y,1.359
385402,,N,1.597
385423,,N,
385497,,N,
385580,,N,
385605,,Y,
385843,,N,
386259,,N,
386281,,N,
386298,,N,
386454,,Y,0.367
386504,,N,
386720,,N,0.964
386847,,Y,0.663
387505,,Y,1.060
387648,,N,
387668,,Y,
387717,,N,
387733,,N,0.344
387746,,Y,0.366
387793,,N,
